Overriding config with config/train_abc_char_medium.py:
# config/train_abc_char_medium.py
from config.train_abc_char_base import *

out_dir = 'out-abc-char-medium'

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.1

tokens per iteration will be: 65,536
found vocab_size = 99 (inside data/abc_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.66M
num decayed parameter tensors: 26, with 10,851,456 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 1360: loss 0.6666, time 96.06ms, mfu 17.89%
iter 1370: loss 0.6041, time 94.96ms, mfu 17.83%
iter 1380: loss 0.5255, time 93.48ms, mfu 17.80%
iter 1390: loss 0.5592, time 97.46ms, mfu 17.70%
iter 1400: loss 0.6229, time 82.12ms, mfu 17.93%
iter 1410: loss 0.5031, time 81.30ms, mfu 18.16%
iter 1420: loss 0.4941, time 95.75ms, mfu 18.06%
iter 1430: loss 0.5261, time 50.70ms, mfu 19.49%
iter 1440: loss 0.5581, time 50.25ms, mfu 20.80%
iter 1450: loss 0.5125, time 97.95ms, mfu 20.40%
iter 1460: loss 0.6296, time 96.88ms, mfu 20.05%
iter 1470: loss 0.5196, time 83.75ms, mfu 20.01%
iter 1480: loss 0.5727, time 88.78ms, mfu 19.85%
iter 1490: loss 0.5506, time 93.03ms, mfu 19.63%
step 1500: train loss 0.4839, val loss 0.4784
saving checkpoint to out-abc-char-medium
iter 1500: loss 0.5989, time 2498.32ms, mfu 17.73%
iter 1510: loss 0.5326, time 94.86ms, mfu 17.69%
iter 1520: loss 0.5995, time 93.06ms, mfu 17.68%
iter 1530: loss 0.5247, time 95.71ms, mfu 17.63%
iter 1540: loss 0.5208, time 87.18ms, mfu 17.75%
iter 1550: loss 0.4790, time 88.04ms, mfu 17.84%
iter 1560: loss 0.5781, time 85.39ms, mfu 17.98%
iter 1570: loss 0.4915, time 95.81ms, mfu 17.89%
iter 1580: loss 0.4833, time 60.21ms, mfu 18.83%
iter 1590: loss 0.6127, time 96.30ms, mfu 18.65%
iter 1600: loss 0.5409, time 97.11ms, mfu 18.47%
iter 1610: loss 0.6155, time 97.52ms, mfu 18.31%
iter 1620: loss 0.4376, time 95.26ms, mfu 18.20%
