Overriding config with config/train_abc_char_tiny.py:
# config/train_abc_char_tiny.py
from config.train_abc_char_base import *

out_dir = 'out-abc-char-tiny'

n_layer = 2
n_head = 2
n_embd = 128
dropout = 0.1

tokens per iteration will be: 65,536
found vocab_size = 99 (inside data/abc_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.41M
num decayed parameter tensors: 10, with 471,424 parameters
num non-decayed parameter tensors: 5, with 640 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 1620: loss 1.2701, time 51.63ms, mfu 1.94%
iter 1630: loss 1.1693, time 47.40ms, mfu 1.92%
iter 1640: loss 1.1384, time 49.40ms, mfu 1.90%
iter 1650: loss 1.1311, time 51.08ms, mfu 1.87%
iter 1660: loss 1.1541, time 54.10ms, mfu 1.84%
iter 1670: loss 1.1850, time 49.80ms, mfu 1.83%
iter 1680: loss 1.1651, time 51.20ms, mfu 1.81%
iter 1690: loss 1.1271, time 51.43ms, mfu 1.79%
iter 1700: loss 1.1124, time 49.10ms, mfu 1.78%
iter 1710: loss 1.1180, time 50.34ms, mfu 1.77%
iter 1720: loss 1.1200, time 48.49ms, mfu 1.77%
iter 1730: loss 1.2333, time 51.07ms, mfu 1.76%
iter 1740: loss 1.2086, time 40.00ms, mfu 1.79%
iter 1750: loss 1.2121, time 46.46ms, mfu 1.80%
iter 1760: loss 1.1409, time 32.88ms, mfu 1.87%
iter 1770: loss 1.0136, time 50.15ms, mfu 1.85%
iter 1780: loss 1.0487, time 52.87ms, mfu 1.83%
iter 1790: loss 1.0483, time 62.76ms, mfu 1.78%
iter 1800: loss 1.2288, time 21.47ms, mfu 1.99%
iter 1810: loss 1.1020, time 52.59ms, mfu 1.95%
iter 1820: loss 1.0879, time 42.64ms, mfu 1.96%
iter 1830: loss 1.2253, time 29.65ms, mfu 2.04%
iter 1840: loss 1.0794, time 47.96ms, mfu 2.02%
iter 1850: loss 1.1395, time 52.68ms, mfu 1.97%
iter 1860: loss 1.0516, time 52.06ms, mfu 1.94%
iter 1870: loss 1.1132, time 31.47ms, mfu 2.01%
iter 1880: loss 1.0356, time 51.68ms, mfu 1.97%
iter 1890: loss 1.0371, time 45.93ms, mfu 1.96%
iter 1900: loss 1.0790, time 50.33ms, mfu 1.93%
iter 1910: loss 1.0655, time 50.83ms, mfu 1.90%
iter 1920: loss 1.1441, time 54.42ms, mfu 1.87%
iter 1930: loss 0.9787, time 44.21ms, mfu 1.87%
iter 1940: loss 1.1402, time 50.19ms, mfu 1.85%
iter 1950: loss 1.0590, time 53.32ms, mfu 1.83%
iter 1960: loss 1.1107, time 49.43ms, mfu 1.81%
iter 1970: loss 1.0390, time 46.24ms, mfu 1.81%
iter 1980: loss 1.1487, time 50.60ms, mfu 1.80%
iter 1990: loss 1.0445, time 48.79ms, mfu 1.79%
step 2000: train loss 1.0093, val loss 1.0120
saving checkpoint to out-abc-char-tiny
iter 2000: loss 1.0911, time 848.64ms, mfu 1.62%
iter 2010: loss 1.1275, time 33.05ms, mfu 1.72%
iter 2020: loss 1.0403, time 52.04ms, mfu 1.71%
iter 2030: loss 1.1279, time 47.33ms, mfu 1.71%
iter 2040: loss 1.0052, time 47.66ms, mfu 1.72%
iter 2050: loss 1.1082, time 51.85ms, mfu 1.71%
iter 2060: loss 1.1155, time 19.70ms, mfu 1.97%
iter 2070: loss 1.1071, time 51.36ms, mfu 1.93%
iter 2080: loss 1.1805, time 48.47ms, mfu 1.91%
iter 2090: loss 1.0468, time 30.28ms, mfu 2.00%
iter 2100: loss 1.0092, time 39.60ms, mfu 2.01%
iter 2110: loss 1.1522, time 39.56ms, mfu 2.03%
iter 2120: loss 1.0453, time 46.85ms, mfu 2.00%
iter 2130: loss 1.0885, time 19.26ms, mfu 2.24%
iter 2140: loss 1.1072, time 28.49ms, mfu 2.31%
iter 2150: loss 1.0637, time 18.10ms, mfu 2.55%
iter 2160: loss 1.1937, time 31.14ms, mfu 2.56%
iter 2170: loss 1.1071, time 53.32ms, mfu 2.46%
